# Created by Octave 4.2.1, Mon Nov 27 20:04:28 2017 -02 <root@otaviano>
# name: Iteration
# type: matrix
# rows: 100
# columns: 2
 
1 1854.14505428904

2 870.6782929127033
3 440.2335934076306
4 251.8361317132182
5 169.378142186679
6 133.287844622868
7 117.4918039018237
 
8 110.5781733972786
 
9 107.5522048981791
 
10 106.2277921143827
 
11 105.6481179031904
 
12 105.3944016002356
 
13 105.2833508740777
 
14 105.2347421575285
 
15 105.2134631211098
 
16 105.2041457660576
 
17 105.2000638116175
 
18 105.1982732926396
 
19 105.1974856915727
 
20 105.197137048793
 
21 105.1969805298996
 
22 105.1969081001704
 
23 105.1968724748621
 
24 105.1968529583421
 
25 105.1968404925255
 
26 105.1968311128609
 
27 105.1968230841396

28 105.1968156468936
 
29 105.1968084687183
 
30 105.1968014041265
 
31 105.1967943894413
 
32 105.1967873967923
 
33 105.1967804139813
 
34 105.1967734356694
 
35 105.1967664595198
 
36 105.1967594845097
 
37 105.1967525101914
 
38 105.196745536369
 
39 105.1967385629568
 
40 105.1967315899172
 
41 105.1967246172338
 
42 105.1967176448992
 
43 105.1967106729105
 
44 105.1967037012662
 
45 105.1966967299656
 
46 105.1966897590085
 
47 105.1966827883948
 
48 105.1966758181243
 
49 105.1966688481971
 
50 105.1966618786131
 
51 105.1966549093724
 
52 105.1966479404747
 
53 105.1966409719203
 
54 105.1966340037091
 
55 105.1966270358409
 
56 105.1966200683158
 
57 105.1966131011339
 
58 105.196606134295
 
59 105.1965991677992
 
60 105.1965922016465
 
61 105.1965852358367
 
62 105.19657827037
 
63 105.1965713052463
 
64 105.1965643404655
 
65 105.1965573760277
 
66 105.1965504119329
 
67 105.196543448181
 
68 105.196536484772
 
69 105.1965295217059
 
70 105.1965225589826
 
71 105.1965155966023
 
72 105.1965086345647
 
73 105.19650167287
 
74 105.1964947115181
 
75 105.196487750509
 
76 105.1964807898427
 
77 105.1964738295191
 
78 105.1964668695383
 
79 105.1964599099001
 
80 105.1964529506048
 
81 105.1964459916521
 
82 105.196439033042
 
83 105.1964320747747
 
84 105.1964251168499
 
85 105.1964181592678
 
86 105.1964112020283
 
87 105.1964042451314
 
88 105.196397288577
 
89 105.1963903323652
 
90 105.196383376496
 
91 105.1963764209692
 
92 105.196369465785
 
93 105.1963625109433
 
94 105.196355556444
 
95 105.1963486022872
 
96 105.1963416484728
 
97 105.1963346950009
 
98 105.1963277418713
 
99 105.1963207890842
 
100 105.1963138366393


